ID do canal,URL do canal,Título do canal
UC2NWUahUi4xbLYmJfGBAQ5A,http://www.youtube.com/channel/UC2NWUahUi4xbLYmJfGBAQ5A,FEBtv
UC3gFUIM52xV-Tn05qXQ9EPA,http://www.youtube.com/channel/UC3gFUIM52xV-Tn05qXQ9EPA,Camilão Team
UC7263Wu5ruI38CyGi8TpfTA,http://www.youtube.com/channel/UC7263Wu5ruI38CyGi8TpfTA,Espiritualidade e Vida
UC8bf9qkKtL7ACLjUw0uFFbw,http://www.youtube.com/channel/UC8bf9qkKtL7ACLjUw0uFFbw,Michael Whalen
UCEgITwyUyDiMVBpmDibjP3g,http://www.youtube.com/channel/UCEgITwyUyDiMVBpmDibjP3g,Café Filosófico CPFL
UCFTTKEjQkIwEV94fsYLM0Pw,http://www.youtube.com/channel/UCFTTKEjQkIwEV94fsYLM0Pw,Richard Drociuk
UCKdVW7Np-9l3CM5daYcGEAw,http://www.youtube.com/channel/UCKdVW7Np-9l3CM5daYcGEAw,Provoca
UCSL_hpPU-Jj2ZZ8lEh85klg,http://www.youtube.com/channel/UCSL_hpPU-Jj2ZZ8lEh85klg,Canal Espírita Trabalhadores da Ultima Hora
UCSTvWNZaWIxbQVTyNGDYtng,http://www.youtube.com/channel/UCSTvWNZaWIxbQVTyNGDYtng,MateMATHiago
UCXdXYG8dUmEv6jhEji_lSHg,http://www.youtube.com/channel/UCXdXYG8dUmEv6jhEji_lSHg,Jornalismo TV Cultura
UCYBdozIdPH2dVvKbR5X-eIQ,http://www.youtube.com/channel/UCYBdozIdPH2dVvKbR5X-eIQ,NEPE Brasil
UCZ5n2JVeCtuw587QEVrni-w,http://www.youtube.com/channel/UCZ5n2JVeCtuw587QEVrni-w,EverFlo Music Trance
UCaprHUW7N6fwdiwLVSEPuUA,http://www.youtube.com/channel/UCaprHUW7N6fwdiwLVSEPuUA,Antônio B
UCdcL3nma0HpYkWFH52YE06Q,http://www.youtube.com/channel/UCdcL3nma0HpYkWFH52YE06Q,boralaemcasa
UCiSqmhviFRq35mG_7sYkoIw,http://www.youtube.com/channel/UCiSqmhviFRq35mG_7sYkoIw,Alexandre Porpetone
UCnSclJyj_62F5pm0VJVMPiw,http://www.youtube.com/channel/UCnSclJyj_62F5pm0VJVMPiw,Editora Dufaux
UCwrG3IHZaEaFCHY1lXnPS9g,http://www.youtube.com/channel/UCwrG3IHZaEaFCHY1lXnPS9g,Mansão do Caminho

