boralaemcasa = UCdcL3nma0HpYkWFH52YE06Q

ID do vídeo,Horário da adição
THEBLw7CQ6w,2021-11-06 12:03:07 UTC
CC7aXxSU720,2021-11-06 12:01:28 UTC
xOnzF-iIQPo,2021-11-06 11:59:39 UTC
5AvjCrXd0qk,2021-11-06 11:58:46 UTC
0gj9xa7rZBw,2021-11-06 11:53:12 UTC
1wNc0MccTc4,2021-11-06 11:50:43 UTC
Qmdz_Qu3jV8,2021-11-06 11:47:51 UTC
CeNeaePbvYo,2021-11-06 11:45:20 UTC
drqWE2PFnvo,2021-11-06 11:44:07 UTC
 -nWgSsuI5mA,2021-11-06 11:40:41 UTC
U-xpNalmfgY,2021-11-06 11:39:43 UTC
8a-wfCBBPd8,2021-11-06 11:38:34 UTC
3ohu8ZSmat0,2021-11-06 11:37:21 UTC
2gZ7WEC8F4s,2021-11-06 11:36:24 UTC
k3_lU615ZiQ,2021-11-06 11:27:37 UTC
4fh04V2YO3w,2021-11-06 11:24:42 UTC
UceBV_G3dp8,2021-11-06 11:22:14 UTC
xsA3Y-kPpTM,2021-11-06 11:15:23 UTC
 -GqT79uk3cQ,2021-11-06 11:11:06 UTC
oFrMdRXTWCE,2021-11-06 11:06:55 UTC
NNLHsKoyvZc,2021-11-06 11:03:05 UTC
snf1sK_vd_Y,2021-11-06 10:58:50 UTC
t8F7V4ywOZg,2021-11-06 10:53:03 UTC
_wxRMAsHQCE,2021-09-03 00:46:30 UTC
4LC-RnqAkBY,2021-07-15 01:12:10 UTC
PqOmEJvk1JY,2021-05-09 22:03:20 UTC
b9i86isSocw,2021-04-26 20:50:51 UTC
MZUs13LkZzI,2021-04-25 20:46:22 UTC
1O0TMmA9QzE,2021-04-02 18:42:44 UTC
beRCO6aScPs,2021-04-02 01:21:47 UTC
glBSE7J_g9E,2020-12-30 02:19:56 UTC
8jpwH7Zud2Q,2020-12-28 23:38:18 UTC
iWZDetvrUy8,2020-12-27 22:31:30 UTC
oDfclV5GxsY,2020-12-27 16:10:42 UTC
S1W837UmeZ0,2020-01-05 01:34:47 UTC
Pqe81a_sGqw,2019-12-19 17:35:50 UTC
GimjV6Cl82U,2019-12-18 23:07:37 UTC
uUdmrHPggCA,2019-12-18 10:04:39 UTC
EX021hmzO_4,2019-12-17 02:38:00 UTC
tCRBt4WI90c,2019-12-16 22:03:42 UTC
_y4xd0f70jY,2019-12-16 14:46:34 UTC
4cqN5Xt0Lw4,2019-12-16 13:23:39 UTC
yWzrgSkrKlw,2019-12-15 02:19:58 UTC
ORnacewqtVk,2019-12-14 22:40:48 UTC
yJcG_YexKsk,2019-12-14 20:11:57 UTC
qSf982abo5E,2019-12-14 16:30:30 UTC
LspapXG_h7s,2019-12-14 02:26:24 UTC
GunAYyFhqtc,2019-12-12 21:12:39 UTC
3up5vuaTSg4,2019-12-12 00:14:49 UTC
gBiTRhjZO2I,2019-12-11 16:55:31 UTC
SL9w31H9rzQ,2019-12-11 02:15:56 UTC
R15HOBrxWO4,2019-12-09 03:38:08 UTC
oPUtaUe8VaU,2019-12-07 01:36:25 UTC
nCRlGR-xrsY,2019-12-06 23:04:19 UTC
 -t1jjshEjFM,2019-12-06 22:33:51 UTC
uwoCjL8A5sQ,2019-12-05 19:58:36 UTC
ypDOPtmbOXg,2019-12-05 18:36:36 UTC
2plcnM-TCR0,2019-11-15 22:01:06 UTC
a2XVrzgouA8,2019-11-10 21:19:51 UTC
QGBSPnKZUo8,2019-11-07 20:08:08 UTC
drwXa9lVrmg,2019-10-27 00:59:54 UTC
OQdZYivyNOA,2019-10-19 23:35:41 UTC
u6qitaV1X6A,2019-10-11 15:45:16 UTC
1r7hMrheJtY,2019-10-08 01:29:52 UTC
ASg7mMXB6Xs,2019-10-04 23:13:34 UTC
Po-UTXEusIQ,2019-10-03 00:31:51 UTC
r6L4df4Zikw,2019-09-17 14:04:49 UTC
eOpsxqh-4bs,2019-07-13 18:15:50 UTC
1_fSukOPDRA,2019-07-11 12:47:41 UTC
ivBuwr-Z_mM,2019-06-29 22:13:04 UTC
I4ApH9BKg-M,2019-06-19 15:40:40 UTC
OtP3hRl4L3U,2019-06-19 15:40:40 UTC
aGe6Osg0R_8,2019-06-18 20:55:17 UTC
BdPPIuZkfig,2019-06-18 20:55:16 UTC
FT4salitZZo,2019-06-18 20:55:16 UTC
Ie2z8CNlXS8,2019-06-18 20:55:16 UTC
jqpqLDBqSXs,2019-06-18 20:55:16 UTC
lLK8Y5jicCw,2019-06-18 20:55:16 UTC
pWnCXXmSGlo,2019-06-18 20:55:16 UTC
phz_1W2FO9k,2019-06-18 20:55:16 UTC
qmFzJpOOQU4,2019-06-18 20:55:16 UTC
tSSnfywHGX0,2019-06-18 20:55:16 UTC
G4DPpWLmTcw,2019-06-18 20:44:24 UTC
Ipadp2B2EIY,2019-06-18 20:44:24 UTC
JU52wvXxdEE,2019-06-18 20:44:24 UTC
QZCIxoAzE4c,2019-06-18 20:44:24 UTC
SoCoRKGqU7E,2019-06-18 20:44:24 UTC
iy6kCidqjh0,2019-06-18 20:44:24 UTC
qTolZEkzUwc,2019-06-18 20:44:24 UTC
1cu_tg8wuSk,2019-06-18 20:37:03 UTC
5AzIFbSgVvI,2019-06-18 20:37:03 UTC
